Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Издательство\Производитель:,Год издания\производства:,Место издания\производства:,Язык текста:,Тип обложки:,Обрез:,Иллюстраторы:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,ISBN:,В продаже с:,Описание,Тиснение:,Футляр:,Бумага:,Артикул:,Иллюстрации:,Возраст:,Язык оригинала:,Перевод:,Редактор/составитель:
839677,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/525/w259/i525132.jpg,0,,True,280,АСТ,2016,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,555 гр.,781,2000 экз.,839677,978-5-17-057752-1,17.03.2016,"Самый сложный, самый многоуровневый и неоднозначный из романов Достоевского, который критики считали то «интеллектуальным детективом», то «ранним постмодернизмом», то — «лучшим из произведений о загадочной русской душе». Роман, переживший СОТНИ театральных постановок — и с полдюжины экранизаций, от самых точных — до самых отвлеченных, — но не утративший своей духовной силы…",,,,AST000000000007709,,,,,
842009,"Стругацкий А. Н., Стругацкий Б. Н.",За миллиард лет до конца света,https://www.moscowbooks.ru/image/book/526/w259/i526727.jpg,0,,True,176,АСТ,2016,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,200 гр.,256,7000 экз.,842009,978-5-17-096331-7,02.04.2016,"""Сказали мне, что дорога эта приведет к океану смерти, и я с полпути повернул обратно. С тех пор все тянутся предо мною кривые, глухие, окольные тропы…"" Путь к познанию — дорога в неведомое. Туда, где ты будешь пробираться на ощупь под пристальным взглядом Мироздания. И неважно, кричал ли ты «Эврика!» — оно уже знает, что ты приоткрыл завесу тайны и берет тебя под прицел. Как ты поступишь: продолжишь путь или, смирившись, свернешь на тропинку — глухую, узкую и… безопасную?",,,,ASE000000000722158,,,,,
846067,Роулинг Дж. К.,Гарри Поттер и философский камень,https://www.moscowbooks.ru/image/book/530/w259/i530477.jpg,0,Идея подарка,True,1478,Махаон; Азбука-Аттикус,2016,Москва,русский,Твердый переплет+суперобложка,,Кей Джим,60х100 1/8,290x247,13003 гр.,248,17000 экз.,846067,978-5-389-10818-9,04.05.2016,"Книга, покорившая мир, эталон литературы для читателей всех возрастов, синоним успеха. Книга, сделавшая Джоан Роулинг самым читаемым писателем современности. Книга, ставшая культовой уже для нескольких поколений. «Гарри Поттер и Философский камень» — история начинается.",,,,А0000011391,,15 +,английский,Спивак М. В.,
849349,Достоевский Ф. М.,Записки из подполья,https://www.moscowbooks.ru/image/book/533/w259/i533674.jpg,0,,True,136,АСТ,2016,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,215 гр.,352,5000 экз.,849349,978-5-17-097018-6,31.05.2016,"В сборник вошли три произведения: повести ""Записки из подполья"" (1864), ""Вечный муж"" (1870) и рассказ ""Бобок"" (1873). ""Записки из подполья"", наверное, самое пророческое из всех произведений Достоевского. В нем писатель во многом предвосхитил идеи ХХ века, в том числе прозу Камю и Сартра, впервые показал, что иррациаональное, не поддающееся пониманию начало может быть значительнее и могущественнее разумного. ""Вечный муж"" — удивительный психологический портрет обманутого мужа, терзаемого самыми противоречивыми чувствами: злостью на покойную жену, любовью к их общему ребенку и желанием выместить на нем свой гнев, ненавистью к обидчику, соблазнившему его супругу, и добрыми чувствами к человеку, когда-то бывшему ему другом. ""Бобок"" — злая сатира, высмеивающая в гротескной форме человеческие пороки, искоренить которые не может даже смерть.",,,,ASE000000000723026,,,,,
850677,"Стругацкий А. Н., Стругацкий Б. Н.",Град обреченный,https://www.moscowbooks.ru/image/book/535/w259/i535050.jpg,0,,True,208,АСТ,2016,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,270 гр.,544,7000 экз.,850677,978-5-17-097335-4,15.06.2016,"Одна из самых загадочных книг братьев Стругацких, жанр и цели которой каждый читатель определяет для себя по-своему. Философская притча? Антиутопия? Роман взросления?",,,,ASE000000000723420,,,,,
850935,Фрай М.,Жалобная книга,https://www.moscowbooks.ru/image/book/535/w259/i535621.jpg,0,,True,384,АСТ,2016,Москва,русский,Твердый переплет,,,84x108 1/32,200x130,392 гр.,416,4000 экз.,850935,978-5-17-098088-8,16.06.2016,"В трудную минуту, когда кажется, что жизнь не удалась, будьте бдительны, не проклинайте судьбу — ни вслух, ни даже про себя.",,,,ASE000000000724248,,,,,
859290,Достоевский Ф. М.,Записки из Мертвого дома,https://www.moscowbooks.ru/image/book/542/w259/i542589.jpg,0,,True,152,АСТ,2016,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,295 гр.,448,5000 экз.,859290,978-5-17-099711-4,15.09.2016,"Повесть «Записки из Мертвого дома» основана на воспоминаниях писателя о годах, проведенных в Омском остроге. По мнению критиков, именно с этого произведения начинается подлинный Достоевский с его психологизмом и глубиной образов. В «Записках из Мертвого дома» перед читателем открывается мир, где насилие над человеческой личностью принимает привычный, повседневный характер. Это история, повествующая о судьбах отверженных, которых Достоевский встречал на каторжных работах. Виновные и невинные, убийцы и контрабандисты, лихие воры и интеллигентные фальшивомонетчики, дворяне и крестьяне… Каждый обитатель острожного «Мертвого дома», созданный пером Достоевского, навеки остается в памяти.",,,,ASE000000000826111,,12 +,,,
865083,Роулинг Дж. К.,Гарри Поттер и Тайная комната,https://www.moscowbooks.ru/image/book/546/w259/i546839.jpg,0,Идея подарка,True,1478,Азбука; Азбука-Аттикус,2016,Москва,русский,Твердый переплет+суперобложка,,Кей Джим,60х100 1/8,290x247,1365 гр.,260,10000 экз.,865083,978-5-389-11558-3,31.10.2016,"«Иллюстрации Джима Кея поразили меня до глубины души. Мне нравится его взгляд на мир Гарри Поттера, и для меня большая честь, что Джим согласился украсить этот мир своим талантом».",,,,А0000012473,,13 +,английский,,
865224,Достоевский Ф. М.,Преступление и наказание. В 2 томах,https://www.moscowbooks.ru/image/book/547/w259/i547058.jpg,0, ,True,28980,,2007,СПб,русский,Кожаный переплет+футляр,Золотой,,70х100 1/16,240x170,2625 гр.,624,100 экз.,865224,978-5-93898-159-1,01.11.2016,"Текст знаменитого романа Ф. М. Достоевского сопровождается графической сюитой известного петербургского графика А. А. Харшака, созданной специально для этого издания. Цикл карандашных иллюстраций исполнен художником в традициях петербургской академической школы, однако отличается своеобразной стилистикой, охарактеризованной в искусствоведческой статье Ю. Г. Боброва в настоящей книге как «реализм эпохи постмодернизма». Книга снабжена также новым подробным комментарием к тексту романа и статьей, написанными одним из наиболее авторитетных специалистов по творчеству Ф. М. Достоевского Б. Н. Тихомировым.",Углубленное тиснение (красочное плоскоуглубленное изображение),Вставной,Мелованная,,С иллюстрациями,,,,
873080,Глуховский Д. А.,Метро 2033. Метро 2034. Метро 2035,https://www.moscowbooks.ru/image/book/552/w259/i552835.jpg,5,Идея подарка,True,1153,АСТ,2017,Москва,русский,Твердый переплет,,,84х108 1/16,260x205,1305 гр.,848,2500 экз.,873080,978-5-17-101557-2,25.12.2016,"""Метро"" Дмитрия Глуховского переведено на 37 языков мира и издано двухмиллионным тиражом.",,,,ASE000000000828054,,,,,
883589,Достоевский Ф. М.,Братья Карамазовы. В 2 томах,https://www.moscowbooks.ru/image/book/562/w259/i562080.jpg,0, ,True,37800,,2013,СПб,русский,Твердый переплет,,,70х100 1/16,240x170,4880 гр.,1312,,883589,,12.04.2017,"Цикл из ста иллюстраций выдающегося русского художника Александра Алексеева (1901-1982), большую часть жизни проведшего во Франции, впервые воспроизводится вместе с оригинальным текстом романа Ф. М. Достоевского ""Братья Карамазовы"" (1879-1880). Литографии Алексеева, являющиеся признанным шедевром мировой книжной графики, были опубликованы в 1929 году в библиофильском издании перевода романа в Париже тиражом сто экземпляров и с тех пор никогда не переиздавались. Книга снабжена подробными примечаниями и статьями ведущих исследователей творчества Достоевского. Одна из них посвящена идейной проблематике и истории создания последнего романа Достоевского. Другая — одной из самых волнующих и до сих пор неразрешенных загадок архива писателя — факту исчезновения рукописи ""Братьев Карамазовых"".",,Вставной,,,,,,,
884205,Достоевский Ф. М.,Игрок,https://www.moscowbooks.ru/image/book/562/w259/i562463.jpg,0,,True,136,АСТ,2017,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,160 гр.,224,5000 экз.,884205,978-5-17-103090-2,18.04.2017,"Роману ""Игрок"" присущи сильные автобиографические мотивы, ведь азартным игроком был сам Достоевский. История создания этой книги очень интересна: проигравшийся до последнего гроша в Висбадене, отчаянно нуждающийся в деньгах писатель заключил с издательством контракт, согласно которому должен был написать роман... за 26 дней. Эти совершенно неправдоподобные сроки вынудили Достоевского, впервые в жизни, воспользоваться услугами секретаря-стенографистки, которой он надиктовывал текст. Так в жизнь гения вошла молодая Анна Сниткина — женщина, которой суждено было стать его женой и музой...",,,,ASE000000000829671,,,,,
886733,Роулинг Дж. К.,Фантастические твари и где они обитают. Оригинальный сценарий,https://www.moscowbooks.ru/image/book/564/w259/i564680.jpg,0,,True,493,Азбука-Аттикус,2017,СПб,русский,Твердый переплет+суперобложка,,,85х108 1/32,,380 гр.,304,50000 экз.,886733,978-5-389-12730-2,16.05.2017,"Эта книга — дебют Дж.К. Роулинг в качестве сценариста. Это грандиозная приключенческая история о дружбе, волшебстве и хаосе с вереницей незабываемых персонажей. События происходят за пятьдесят лет до начала истории о Гарри Поттере.",,,,А0000013170,,11 +,английский,,
887390,Достоевский Ф. М.,Белые ночи. Петербургская летопись,https://www.moscowbooks.ru/image/book/565/w259/i565338.jpg,0, ,True,4880,,2017,СПб,русский,Кожаный переплет (Cabra),,,70х100 1/16,240x170,1280 гр.,448,1000 экз.,887390,978-5-93898-608-4,18.05.2017,"""Белые ночи"" (1848) — одно из главных произведений в раннем творчестве Ф. М. Достоевского (1821 1881). При всей, казалось бы, сюжетной простоте, эта повесть по своему колориту и лирической приподнятости занимает особое место среди его созданий этого периода и связана с ними множеством параллелей. Вместе с ""Белыми ночами"" публикуется цикл фельетонов Достоевского ""Петербургская летопись"" (1847), печатавшихся в газете ""С.-Петербургские ведомости"". Именно в ""Петербургской летописи"" появился образ мечтателя, получивший яркое воплощение в ""Белых ночах"".",,,,,,,,,
888162,Достоевский Ф. М.,Сочинения,https://www.moscowbooks.ru/image/book/566/w259/i566325.jpg,0, ,True,9100,,2001,Москва,русский,Кожаный переплет,Окрашенный,,70х100 1/16,240x170,1545 гр.,1040,,888162,5-7000-0010-5,24.05.2017,"В однотомник замечательного русского писателя Федороа Михайловича Достоевского (1821—1881), сумевшего не только точно отразить человеяеские характеры, но и всю глубину внутреннего мира человека, мира сокровенных дум и чувств, вошли интереснейшие романы: ""Преступление и наказание"", ""Идиот"" и ""Бесы"". В конце даны ""Хроника жизни и творчества Ф. М. Достоевского"" и литература о нем.",Блинтовое (бескрасочное плоскоуглубленное изображение),,Офсетная,,Без иллюстраций,,,,
888848,Роулинг Дж. К.,Сказки барда Бидля,https://www.moscowbooks.ru/image/book/567/w259/i567248.jpg,0,,True,493,Махаон; Азбука-Аттикус,2017,Москва,русский,Твердый переплет,,,70х90 1/16,215x170,485 гр.,136,15000 экз.,888848,978-5-389-12732-6,26.05.2017,"У вас в руках специальное издание «Сказок барда Бидля», знакомых всем колдунам и ведьмам с детства. Перевод с рунического сделан Гермионой Грейнджер. Автор комментариев и пояснений — самый знаменитый колдун современности, профессор Альбус Персиваль Вульфрик Брайан Думбльдор.",,,,А0000013173,,10 +,английский,Спивак М.,
892702,Достоевский Ф. М.,Униженные и оскорбленные,https://www.moscowbooks.ru/image/book/571/w259/i571167.jpg,0,,True,144,Азбука; Азбука-Аттикус,2017,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,345 гр.,448,5000 экз.,892702,978-5-389-12315-1,10.07.2017,"Роман ""Униженные и оскорбленные"" (1861) создавался Ф. М. Достоевским в эпоху необычайного подъема русской общественной жизни, — в эпоху, когда публикация нового литературного произведения воспринималась как событие социально значимое. Так было воспринято и появление романа ""Униженные и оскорбленные"". После его выхода в свет Н. А. Добролюбов отвел Достоевскому самое почетное место в ""гуманистическом"" направлении русской литературы. Многое в этом романе читателям казалось необычным: перед ними была поставлена новая этико-социальная проблема — проблема эгоизма. Князь Валковский, разворачивающий на страницах романа свою циническую ""философию жизни"", стал первым в творчестве писателя героем-""идеологом"", предшественником Человека из подполья, Раскольникова, Свидригайлова и других героев Достоевского 1860—1870-х гг.",,,,А0000012565,,,,,
898897,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/576/w259/i576797.jpg,0, ,True,11467,,2013,Самара,русский,Твердый переплет (Переплетный материал VIP-класса Madera),Торшонированный окрашенный,,155х245 мм,245x155,1675 гр.,780,50 экз.,898897,,14.09.2017,"""Братья Карамазовы"" — последний и один из самых известных романов Ф.М. Достоевского (1821—1881). Произведение было задумано как первая часть эпического полотна ""История Великого грешника"" и закончено в ноябре 1880 года, за три месяца до смерти писателя. В книге затрагиваются проблемы религии, внутренней свободы и нравственных исканий, добра и зла, моральных ценностей и этических принципов.",Рельефное (бескрасочное или цветное многоуровневое изображение),,Дизайнерская,1120,Без иллюстраций,,,,
904562,Роулинг Дж. К.,Гарри Поттер и философский камень,https://www.moscowbooks.ru/image/book/581/w259/i581929.jpg,0,Идея подарка,True,656,Махаон; Азбука-Аттикус,2017,Москва,русский,Твердый переплет с окрашенным обрезом+суперобложка,,,84х108 1/32,200x130,545 гр.,464,4000 экз.,904562,978-5-389-13621-2,01.11.2017,"Специальное издание для учеников и выпускников ""Гриффиндора"" к 20-летию первой публикации книги ""Гарри Поттер и философский камень"".",,,,А0000014458,,11 +,английский,Спивак М.,
904915,Роулинг Дж. К.,Фантастические твари и где они обитают,https://www.moscowbooks.ru/image/book/582/w259/i582296.jpg,0,,True,1232,Махаон; Азбука-Аттикус,2017,Москва,русский,Твердый переплет,,Джилл Оливия Ломенек,252х295 мм,295x252,1275 гр.,136,10000 экз.,904915,978-5-389-13231-3,07.11.2017,"Исследуйте удивительный дикий мир волшебных существ и необыкновенных зверей! В этом уникальном, роскошном сборнике, составленном знаменитым колдуном и магозоологом Ньютом Саламандером, собраны самые фантастические твари Волшебного мира.",,,,А0000013961,,11 +,английский,Спивак М.,
906249,Достоевский Ф. М.,Белые ночи,https://www.moscowbooks.ru/image/book/583/w259/i583456.jpg,0,,True,144,Азбука; Азбука-Аттикус,2018,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,330 гр.,416,10000 экз.,906249,978-5-389-13859-9,15.11.2017,"В книгу включены произведения Ф. М. Достоевского, созданные в самом начале его творческого пути: дебютный роман ""Бедные люди"", который в одночасье сделал автора знаменитым, а также повести ""Белые ночи"" и ""Неточка Незванова"". Эти произведения написаны до ""катастрофы"" 1849 года, когда молодого писателя за участие в кружке Петрашевского сослали на каторжные работы Сибирь, где он провел около десяти лет. В ранних произведениях Достоевского еще с трудом угадывается автор ""Записок из подполья"", ""Преступления и наказания"" и ""Братьев Карамазовых"", однако уже в них был явлен талант мощного и оригинального писателя, заслужившего восторженные отзывы критиков и успех у читателей, произведения которого исполнены сострадания и глубокого сочувствия к растоптанным, смешным, но не утратившим человеческого достоинства людям.",,,,А0000014770,,,,,
909653,Фицджеральд Ф. С.,Прекрасные и проклятые. Истории века джаза,https://www.moscowbooks.ru/image/book/586/w259/i586471.jpg,0,Идея подарка,True,558,Иностранка; Азбука-Аттикус,2018,Москва,русский,Твердый переплет,,,60х90 1/16,215x145,985 гр.,992,4000 экз.,909653,978-5-389-13838-4,06.12.2017,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". В предлагаемую вашему вниманию книгу включены роман ""Прекрасные и проклятые"" (своего рода испытательный полигон перед общепризнанным шедевром — ""Великим Гэтсби"") и три полных авторских сборника знаменитого мастера — ""Фифы и философы"", ""Истории века джаза"", ""Все печальные юноши"".",,,,А0000014745,,,английский,Белокриницкая С.,
910377,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. 1958. В 33 томах. Том 2,https://www.moscowbooks.ru/image/book/587/w259/i587008.jpg,0,,True,3170,"Издательство ""Сидорович""; Ленинград",2017,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,810 гр.,688,350 экз.,910377,978-5-905909-93-1,11.12.2017,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-93-1,,,,,
910378,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. 1959. В 33 томах. Том 3,https://www.moscowbooks.ru/image/book/587/w259/i587006.jpg,0,,True,3170,"Издательство ""Сидорович""; Ленинград",2017,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,805 гр.,656,350 экз.,910378,978-5-905909-94-8,11.12.2017,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-94-8,,,,,
913634,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. Том 4. 1960,https://www.moscowbooks.ru/image/book/589/w259/i589732.jpg,0,,True,3170,Издательство Сидорович,2017,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,200x130,720 гр.,592,350 экз.,913634,978-5-905909-95-5,12.01.2018,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-95-5,,,,,
913635,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. Том 5. 1961,https://www.moscowbooks.ru/image/book/589/w259/i589733.jpg,0,,True,3170,Издательство Сидорович,2017,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,200x130,690 гр.,560,350 экз.,913635,978-5-905909-96-2,12.01.2018,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-96-2,,,,,
915189,Роулинг Дж. К.,Гарри Поттер и Проклятое дитя. Финальная версия сценария. В 2 частях,https://www.moscowbooks.ru/image/book/590/w259/i590954.jpg,0,Идея подарка,True,640,Махаон; Азбука-Аттикус,2018,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,485 гр.,480,20000 экз.,915189,978-5-389-13954-1,23.01.2018,"Пьеса Джека Торна ""Гарри Поттер и проклятое дитя"" создана на основе оригинальной истории от Дж.К. Роулинг, Джона Тиффани и Джека Торна. Это восьмая книга о Гарри Поттере и первая официальная сценическая постановка. Настоящая версия сценария является финальной и включает дополнительные материалы: генеалогическое древо семьи Гарри Поттера, хронологию важнейших событий в жизни Гарри Поттера и беседу Джона Тиффани и Джека Торна о сценарии.",,,,А0000014895,,11 +,английский,Спивак М.,
916062,Достоевский Ф. М.,Белые ночи,https://www.moscowbooks.ru/image/book/591/w259/i591957.jpg,0,,True,144,АСТ,2018,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,200 гр.,320,5000 экз.,916062,978-5-17-106575-1,31.01.2018,"В этот сборник вошли две ранние повести Достоевского — ""Белые ночи"" и ""Неточка Незванова"", которые считаются самыми поэтичными произведениями великого романиста.",,,,ASE000000000834418,,,,,
922627,Достоевский Ф. М.,Преступление и наказание. Идиот,https://www.moscowbooks.ru/image/book/597/w259/i597630.jpg,0,Идея подарка,True,558,Азбука; Азбука-Аттикус,2018,СПб,русский,Твердый переплет,,,60х90 1/16,215x145,1105 гр.,1120,4000 экз.,922627,978-5-389-14380-7,29.03.2018,"Романы «Преступление и наказание», «Идиот», наряду с «Бесами» «Подростком» и «Братьями Карамазовыми», входят в так называемое «пятикнижие» Ф. М. Достоевского: их роль в мировой литературе сравнивают по значимости с первыми пятью книгами Библии — Пятикнижием Моисея. Глубоко социальные и в тоже время трактующие о фундаментальных вопросах бытия, эти романы во многом изменили наши представления о возможностях литературы и природе человека. Первым из этих великих произведений Достоевского стал роман «Преступление и наказание» (1866). Он был задуман как «психологический отчет одного преступления», однако писатель далеко отступил от первоначальных планов, заставив читателя размышлять о грехе и искуплении, о границах дозволенного, о духовной смерти и воскресении. Основную идею романа «Идиот» (1868) Достоевский сформулировал так: «…Изобразить положительно прекрасного человека. Труднее этого нет ничего на свете, а особенно теперь». «Князь-Христос» выходит на проповедь, и в его слова Достоевский вкладывает свои заветные мысли о русской душе и вере.",,,,А0000015458,,,,,
925078,Достоевский Ф. М.,Малая проза. Книга 1. Слабое сердце. Чужая жена и муж под кроватью,https://www.moscowbooks.ru/image/book/599/w259/i599714.jpg,0, ,True,4880,,2018,СПб,русский,Твердый переплет,,,70х100 1/16,240x170,1375 гр.,472,800 экз.,925078,978-5-93898-647-3,18.04.2018,"Настоящее издание ""малой прозы"" Ф. М. Достоевского (1821-1881) включает произведения 1840-1850-х годов.",,,,,,,,,
925570,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. Том 6. 1962,https://www.moscowbooks.ru/image/book/600/w259/i600164.jpg,0,,True,3170,Издательство Сидорович,2017,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,200x130,840 гр.,720,350 экз.,925570,978-5-905909-97-9,23.04.2018,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-97-9,,,,,
925571,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. Том 7. 1963,https://www.moscowbooks.ru/image/book/600/w259/i600165.jpg,0,,True,3170,Издательство Сидорович,2017,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,200x130,700 гр.,576,350 экз.,925571,978-5-905909-99-3,23.04.2018,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-99-3,,,,,
926010,Достоевский Ф. М.,Малая проза. Книга 1. Слабое сердце. Чужая жена и муж под кроватью,https://www.moscowbooks.ru/image/book/600/w259/i600541.jpg,0, ,True,18900,,2018,СПб,русский,Твердый переплет,Золотой,,70х100 1/16,240x170,1375 гр.,472,800 экз.,926010,978-5-93898-647-3,26.04.2018,"Настоящее издание ""малой прозы"" Ф. М. Достоевского (1821-1881) включает произведения 1840-1850-х годов.",,Вставной,Мелованная,,,,,,
